exp_id,population,generations,mutation_rate,crossover_rate,crossover_type,best_fitness,best_C,best_penalty,best_class_weight,best_threshold,test_recall,test_specificity,test_f1,test_disparity,runtime_seconds,saved_model,baseline_recall,baseline_specificity,baseline_f1,baseline_disparity,delta_f1_vs_baseline,delta_recall_vs_baseline
high_mut_uniform,100,20,0.5,0.7,uniform,0.7813515654590903,0.05605175533726833,l1,None,0.46772096829617993,0.8611111111111112,0.9452054794520548,0.8732394366197183,0.006493506493506551,68.51516650000121,C:\repositorios\tech-challenge-group-62\FASE_2\models\ga_high_mut_uniform.joblib,0.8333333333333334,0.9041095890410958,0.821917808219178,0.03896103896103886,0.05132162840054022,0.02777777777777779
low_mut_onepoint,100,10,0.2,0.8,one_point,0.778471373761432,0.1259631623041354,l1,None,0.4583143387165018,0.8611111111111112,0.9315068493150684,0.8611111111111112,0.006493506493506551,68.10811909999757,C:\repositorios\tech-challenge-group-62\FASE_2\models\ga_low_mut_onepoint.joblib,0.8333333333333334,0.9041095890410958,0.821917808219178,0.03896103896103886,0.039193302891933124,0.02777777777777779
balanced_config,100,20,0.3,0.75,uniform,0.7796922133169795,0.046530072256228704,l1,balanced,0.612046496748577,0.8611111111111112,0.9452054794520548,0.8732394366197183,0.006493506493506551,72.10528110001178,C:\repositorios\tech-challenge-group-62\FASE_2\models\ga_balanced_config.joblib,0.8333333333333334,0.9041095890410958,0.821917808219178,0.03896103896103886,0.05132162840054022,0.02777777777777779
